value,label
93,"SECRETARIA DE TRABAJO Y FOMENTO AL EMPLEO EN LA CDMX"
94,"SECRETARIA DE TURISMO"
95,"SECRETARIA DE TURISMO DE LA CDMX"
96,"SECRETARIA DEL MEDIO AMBIENTE"
97,"SECRETARIA DEL MEDIO AMBIENTE DE LA CDMX"
98,"SECRETARIA EJECUTIVA DE MECANISMOS DE SEGUIMIENTO Y EVALUACION DEL PROGRAMA DE DERECHOS HUMANOS"
99,"SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO"
100,"SISTEMA P?BLICO DE RADIODIFUSI?N DE LA CIUDAD DE M<U+0090>XICO"
101,"UNIVERSIDAD DE LA POLICIA DE LA CIUDAD DE MEXICO"
102,NA
