"","value","label"
"80",80,"SECRETARIA DE LA CONTRALORIA GENERAL DE LA CIUDAD DE MEXICO"
"81",81,"SECRETARIA DE LAS MUJERES DE LA CDMX"
"82",82,"SECRETARIA DE MOVILIDAD"
"83",83,"SECRETARIA DE MOVILIDAD DE LA CDMX"
"84",84,"SECRETARIA DE OBRAS Y SERVICIOS"
"85",85,"SECRETARIA DE OBRAS Y SERVICIOS DE LA CDMX"
"86",86,"SECRETARIA DE PROTECCION CIVIL"
"87",87,"SECRETARIA DE PUEBLOS Y BARRIOS ORIGINARIOS Y COMUNIDADES INDIGENAS RESIDENTES DE LA CDMX"
"88",88,"SECRETARIA DE SALUD"
"89",89,"SECRETARIA DE SALUD DE LA CDMX"
"90",90,"SECRETARIA DE SEGURIDAD CIUDADANA DE LA CDMX"
"91",91,"SECRETARIA DE SEGURIDAD PUBLICA"
"92",92,"SECRETARIA DE TRABAJO Y FOMENTO AL EMPLEO"
"93",93,"SECRETARIA DE TRABAJO Y FOMENTO AL EMPLEO EN LA CDMX"
"94",94,"SECRETARIA DE TURISMO"
"95",95,"SECRETARIA DE TURISMO DE LA CDMX"
"96",96,"SECRETARIA DEL MEDIO AMBIENTE"
"97",97,"SECRETARIA DEL MEDIO AMBIENTE DE LA CDMX"
"98",98,"SECRETARIA EJECUTIVA DE MECANISMOS DE SEGUIMIENTO Y EVALUACION DEL PROGRAMA DE DERECHOS HUMANOS"
"99",99,"SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO"
"100",100,"SISTEMA P?BLICO DE RADIODIFUSI?N DE LA CIUDAD DE M<U+0090>XICO"
"101",101,"UNIVERSIDAD DE LA POLICIA DE LA CIUDAD DE MEXICO"
"102",102,NA
